대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,8,B,나도 그래! 한식이 너무 땡겨 ㅋㅋ,
,,,,,,,,,,,,9,A,미나리 OST도 너무 좋았어,
,,,,,,,,,,,,10,B,맞아! 레인 송 너무 아름다웠어,
,,,,,,,,,,,,11,A,미나리 보고 가족에 대해 생각 많아졌어,
,,,,,,,,,,,,12,B,나도 그래! 가족이 레알루다가 소중하다는 걸 느꼈어,레알
,,,,,,,,,,,,13,A,미나리는 1세대 이민 가족의 이야기를 잘 그렸지,
,,,,,,,,,,,,14,B,맞아! 이민 가족의 이야기를 잘 담아냈어,
,,,,,,,,,,,,15,A,미나리는 아카데미 주제가상 후보에도 올랐어,
,,,,,,,,,,,,16,B,충공! 와! 그렇게 대단한 영화였구나,충공
271961,0001,남자,20,0149,여자,20,,,,콘텐츠 소비,주현영,1,A,유괴의 날 재밌었어?,
,,,,,,,,,,,,2,B,나도 재밌게 봤어! 주현영 연기는 진짜 최고였지,
,,,,,,,,,,,,3,A,그래 그래! 주현영 특별출연 소식을 듣고 기대됐었는데 너무 잘 어울렸어,
,,,,,,,,,,,,4,B,"맞아! 동그란 안경 쓴 모습도 매력적이었고, 제이든과의 호흡도 좋았지",
,,,,,,,,,,,,5,A,그런데 주현영이 어떤 역할로 나왔는지 아직 모르겠어,
,,,,,,,,,,,,6,B,아마 중요한 정보를 알려줄 역할이었을거야. 기대하자!,
,,,,,,,,,,,,7,A,그래! 다음 회차에서 어떤 일이 벌어질지 너무 궁금해,
,,,,,,,,,,,,8,B,나도 그래! 계속해서 예측할 수 없는 상황들이 벌어지니까 더 재미있어,
,,,,,,,,,,,,9,A,앞으로도 계속 볼 예정이야. 너는?,
,,,,,,,,,,,,10,B,나도 그래! 계속해서 주현영의 연기에 이끌려서,
,,,,,,,,,,,,11,A,주현영 진짜 대세인거 같아,
,,,,,,,,,,,,12,B,그럴듯! 그만큼 연기 실력도 좋고 매력도 넘치니까,
,,,,,,,,,,,,13,A,주현영 팬이 되어버렸어 ㅋㅋ,
,,,,,,,,,,,,14,B,나도! 주현영의 다음 작품도 기대해볼래 ㅎㅎ,
,,,,,,,,,,,,15,A,저번에 주현영이 참여한 드라마도 봤어?,
,,,,,,,,,,,,16,B,그거 아니지? 너무 재밌었지! 주현영이 출연하는 작품은 다 퀄리티가 좋아,
272595,0001,남자,20,0146,여자,20,,,,콘텐츠 소비,한효주,1,A,한효주가 생일을 맞아 아너 소사이어티에 가입했다.,
,,,,,,,,,,,,2,B,아너 소사이어티는 무슨 단체야? 궁금하다.,
,,,,,,,,,,,,3,A,아너 소사이어티는 사회복지공동모금회가 만든 고액기부자들의 모임이야.,
,,,,,,,,,,,,4,B,한효주는 얼마나 기부했을까?,
,,,,,,,,,,,,5,A,한효주가 1억 원 이상을 기부했어.,
,,,,,,,,,,,,6,B,와우내 레게노다. 한효주는 레알로 선한 영향력을 가지고 있네.,레게노;레알;와우내;레게노
,,,,,,,,,,,,7,A,"한효주는 기초생계와 교육자립 지원, 영양 및 급식지원 등을 위해 기부했어.",
,,,,,,,,,,,,8,B,한효주는 기부 외에도 다른 나눔 활동도 많이 하나봐.,
,,,,,,,,,,,,9,A,맞아 한효주는 효주 기금을 개설해 어르신 생계비 지원과 소외아동청소년 문화체험 지원 등을 도와주고 있어.,
,,,,,,,,,,,,10,B,한효주는 레알루다가로 멋진 사람이네. 다른 연예인들에게도 좋은 영향을 주었으면 좋겠다.,레알
,,,,,,,,,,,,11,A,맞아 한효주는 자신의 영향력을 활용해 사회에 도움을 주고 있어. 레알루다가로 멋진 모습이지.,레알
,,,,,,,,,,,,12,B,한효주가 참 좋은 본보기가 되는구나. 다른 연예인들도 배울 점이 많을 것 같아.,
,,,,,,,,,,,,13,A,마좌 한효주처럼 우리도 작은 일부터 시작해서 사회에 기여하는 사람이 되어야겠다.,마좌
,,,,,,,,,,,,14,B,ㅇㅇ 우리도 어떻게든 도움을 주고 싶은 마음으로 노력해야겠어.,ㅇㅇ
,,,,,,,,,,,,15,A,마좌 우리 모두가 작은 일부터 시작해서 선한 영향력을 미치는 사람이 되자!,마좌
,,,,,,,,,,,,16,B,그렇게 해서 우리도 한효주처럼 멋진 사람이 될 수 있을 거야!,
039088,0017,여자,30,0116,남자,30,,,,콘텐츠 소비,나는 솔로 돌싱 특집,1,A,내일 친구들이랑 놀러 간당,
,,,,,,,,,,,,2,B,어디로 놀러 가? 재밌겠다,
,,,,,,,,,,,,3,A,친구 집으로 가.ㅎㅎ 집캉스 하려구,집캉스
,,,,,,,,,,,,4,B,좋지. 맛있는거 해먹고 놀면 되겠다,
,,,,,,,,,,,,5,A,"웅. 요리도 하고, 티비도 보려고. 요즘 하는 재밌는 연애 프로그램 있엉?",
,,,,,,,,,,,,6,B,나는 솔로 봐! 연애 프로그램인데 꿀잼이야~,꿀잼
,,,,,,,,,,,,7,A,그건 어디서 만든 프로그램인뎅?,
,,,,,,,,,,,,8,B,ENA와 SBS 플러스에서 공동으로 만든 프로그램이야.ㅎ,
,,,,,,,,,,,,9,A,그렇구나. 지금은 어떤 사람들 나오는데?,
,,,,,,,,,,,,10,B,"요즘엔 돌싱 특집 진행중이라서, 돌싱들이 나와!",돌싱
,,,,,,,,,,,,11,A,아하. 그럼 아이가 없는 사람들만 나와?,
,,,,,,,,,,,,12,B,아냐. 아이 있는 사람들도 몇명 나옴!,
,,,,,,,,,,,,13,A,그래? 어떤 내용일지 넘 궁금하긴 하다.,
,,,,,,,,,,,,14,B,일단 봐. 친구들이랑 보면 더 재밌을걸?ㅎㅎ,
,,,,,,,,,,,,15,A,알았엉! 친구들한테 얘기 해놔야겠어,
,,,,,,,,,,,,16,B,그래! 즐거운 시간 보내고 와.ㅎ,
010250,0072,여자,30,0119,남자,30,,,,콘텐츠 소비,악뮤 더시즌스 MC,1,A,너 악뮤 좋아하잖아. 이번에 나오는 악뮤 프로그램 봤어?,
,,,,,,,,,,,,2,B,"아, 오날오밤? 당연히 봤지.",
,,,,,,,,,,,,3,A,오. 첫 방송 보니깐 어땠어? 나도 볼 까 고민중,
,,,,,,,,,,,,4,B,이찬혁은 작가들과 인연이 있어서 프로그램 기획때 부터 함께 했다고 들었거든.진행이 굉장히 매끄러웠어.,
,,,,,,,,,,,,5,A,ㅋㅋ 그런 뉴스 나오더라. 수현이는 어땠어?,
,,,,,,,,,,,,6,B,이수현은 프로그램 시작 전부터 mc제의가 올 것 같다고 예측했던 거 같아. 그래서 바로 하겠다고 했대.,
,,,,,,,,,,,,7,A,와. 완전 의욕이 넘치겠다 ㅋㅋ,
,,,,,,,,,,,,8,B,"2회차 완전 기대 돼. 이번에는 김세정, 화사, 영케이 나온대 ㅋㅋ",
,,,,,,,,,,,,9,A,"대박, 라인업 진짜 갓벽하다",갓벽하다
,,,,,,,,,,,,10,B,"그러니깐 1회는 이적, 이성경, 비비 나오더니 ㅋㅋ",
,,,,,,,,,,,,11,A,2회 때 무슨 노래 나오는지 정보도 떴어?,
,,,,,,,,,,,,12,B,"영케이는 4일 발표한 신곡 이것밖에 없다. 김세정은 향해, 화사는 6일 발표한 아이러브마이 바디 부를거래",
,,,,,,,,,,,,13,A,와 진짜 최고...스타들도 그렇고 곡들도 죄다 신곡이네 ㅋ,
,,,,,,,,,,,,14,B,ㅋㅋ 그러니깐 너도 같이 볼래?,
,,,,,,,,,,,,15,A,오 완전 환영이지. 언제야?,
,,,,,,,,,,,,16,B,5일날. 맛난거 사와. 같이 보자 ㅋㅋ,
190017,0001,남자,20,0144,여자,20,,,,콘텐츠 소비,케이팝,1,A,케이팝 좋아해?,
,,,,,,,,,,,,2,B,ㅇㅇ! 우린 케이팝 팬이야,ㅇㅇ
,,,,,,,,,,,,3,A,너 케이팝 가수 좋아해?,
,,,,,,,,,,,,4,B,ㅇㅇ! BTS가 최고야 ㅠㅠ,ㅇㅇ
,,,,,,,,,,,,5,A,나도 BTS 좋아해 ㅋㅋ,
,,,,,,,,,,,,6,B,짜짜? 우리 맘이 같구나 ㅎㅎ,짜짜
,,,,,,,,,,,,7,A,한국에 가면 케이팝 공연 보자!,
,,,,,,,,,,,,8,B,ㄲㄲ! 꼭 가서 라이브로 느껴보고 싶어,
,,,,,,,,,,,,9,A,뉴딜 사업 중에 온라인 실감형 케이팝 공연장이 생겼대,
,,,,,,,,,,,,10,B,렬루? 박박인데 ㄷㄷ,박박;렬루
,,,,,,,,,,,,11,A,온라인 공연 전문 스튜디오래. 실감나는 무대도 있대!,
,,,,,,,,,,,,12,B,머박! 케이팝 공연을 직접 느껴볼 수 있겠다,머박
,,,,,,,,,,,,13,A,우리도 가서 케이팝 공연 해보자!,
,,,,,,,,,,,,14,B,아! 나 케이팝 가수로 데뷔할래 ㅋㅋ,
,,,,,,,,,,,,15,A,레알? 응원할게! 화이팅!,레알
,,,,,,,,,,,,16,B,고마워! 나도 ㅎㅇㅌ ㅎㅎ,ㅎㅇㅌ
058077,0079,남자,20,0149,여자,20,,,,콘텐츠 소비,아이디어 융합팩토리,1,A,와 이거 들음?,
,,,,,,,,,,,,2,B,뭐 들음?,
,,,,,,,,,,,,3,A,2023 아이디어 융합팩토리 예비창업랩이래,
,,,,,,,,,,,,4,B,아이디어 융합팩토리? 뭔가 신기한 거야?,
,,,,,,,,,,,,5,A,"응, 아이디어 단계에 있는 콘텐츠 분야 창작자들을 지원해줘",
,,,,,,,,,,,,6,B,그래? 그러면 어떤 프로그램이야?,
,,,,,,,,,,,,7,A,"맞춤형 프로그램이래. 멘토링도 받을 수 있고, 바우처도 지원해줘",
,,,,,,,,,,,,8,B,"멘토링이라니, 좋은 기회인 것 같아",
,,,,,,,,,,,,9,A,"응, 게임, 음악, 영상, 공연 등 다양한 분야에서 창작자들을 선발했대",
,,,,,,,,,,,,10,B,와우내 그렇게 많은 팀이 참가하다니 대단해,와우내
,,,,,,,,,,,,11,A,"참가자들은 최대 1,000만원의 프로젝트 수행 바우처도 받을 수 있대",
,,,,,,,,,,,,12,B,프로젝트 수행 바우처까지? 이런 기회를 놓치면 후회할 것 같아,
,,,,,,,,,,,,13,A,ㅇㅇ 우리도 참가해보는 건 어떰?,
,,,,,,,,,,,,14,B,"응, 좋은 아이디어가 있으면 꼭 신청해야겠어",
,,,,,,,,,,,,15,A,ㅇㅇ 같이 츄라이해보자,츄라이하다
,,,,,,,,,,,,16,B,"응, 같이 성공해보자!",
014299,0074,남자,20,0142,여자,20,,,,콘텐츠 소비,게임,1,A,오늘은 게임 얘기하자,
,,,,,,,,,,,,2,B,좋아! 어떤 게임이야?,
,,,,,,,,,,,,3,A,오버워치에 대해 들어봄?,
,,,,,,,,,,,,4,B,"응, 그 게임은 여성 캐릭터가 인기가 많다더라",
,,,,,,,,,,,,5,A,마좌 트레이서라는 여성 캐릭터가 유명한데,마좌
,,,,,,,,,,,,6,B,근데 게임 출시 초기에는 여성성을 부각하는 포즈들이 문제가 됐었지,
,,,,,,,,,,,,7,A,그래서 제작사가 수정했다고 해,
,,,,,,,,,,,,8,B,"글쿠나, 게임 회사들이 사회적 책임을 지니고 있구나",글쿠나
,,,,,,,,,,,,9,A,마좌 게임도 사회적 영향력을 가지고 있으니까,마좌
,,,,,,,,,,,,10,B,근데 최근에는 수집형 아르피지 게임이 인기가 많아졌어,
,,,,,,,,,,,,11,A,마좌 캐릭터를 뽑고 성장시키는 게임이 재미있어,마좌
,,,,,,,,,,,,12,B,그런 게임들은 배경 스토리가 중요하지 않아,
,,,,,,,,,,,,13,A,"그렇지, 설정이나 배경 스토리가 너무 촘촘하면 집중도가 낮아져",
,,,,,,,,,,,,14,B,그래도 게임은 장르적 허용이 많아서 다양한 설정을 볼 수 있어,
,,,,,,,,,,,,15,A,맞아 게임에서는 상상력이 펼쳐지는 거야,
,,,,,,,,,,,,16,B,그래서 게임은 항상 새로운 재미를 줄 수 있어,
078477,0090,남자,30,0159,여자,30,,,,콘텐츠 소비,오징어 게임,1,A,오징어 게임 너무 재밌어!,
,,,,,,,,,,,,2,B,레알? 나도 보고 싶은데,레알
,,,,,,,,,,,,3,A,넷플릭스에서 볼 수 있어,
,,,,,,,,,,,,4,B,오늘부터 볼래!,
,,,,,,,,,,,,5,A,한 번에 다 보면 좋을 거야,
,,,,,,,,,,,,6,B,많이 긴데 시간이 안 되겠어,
,,,,,,,,,,,,7,A,한 에피소드만 보자,
,,,,,,,,,,,,8,B,그래도 재미있을까?,
,,,,,,,,,,,,9,A,너무 재밌어서 중독될 거야,
,,,,,,,,,,,,10,B,그러면 한 에피소드만 보자,
,,,,,,,,,,,,11,A,오징어 게임 주인공 연기 레알 대단해,레알
,,,,,,,,,,,,12,B,맞아 오영수 배우 수상도 레게노라고 들었어,레게노
,,,,,,,,,,,,13,A,오늘 골든글로브에서 받았대,
,,,,,,,,,,,,14,B,와 머박이네!,머박
,,,,,,,,,,,,15,A,한국 배우가 골든글로브에서 수상한 건 첨이래,
,,,,,,,,,,,,16,B,오징어 게임은 짜짜 박박이야!,박박;짜짜
221815,0001,남자,20,0148,여자,20,,,,콘텐츠 소비,그 해 우리는,1,A,그 해 우리는 드라마 재밌을 것 같아,
,,,,,,,,,,,,2,B,응! 사랑 이야기라서 기대돼,
,,,,,,,,,,,,3,A,여배우 김다미 얼굴 예뻐서 인기많을 것 같아,
,,,,,,,,,,,,4,B,ㅋㅋ 역시 외모도 중요하다니까,
,,,,,,,,,,,,5,A,그래도 연기도 잘하는 것 같아,
,,,,,,,,,,,,6,B,그래서 최우식 배우랑 케미도 좋을 거야,
,,,,,,,,,,,,7,A,그래서 예고편을 봤는데 웃음 포인트도 많아,
,,,,,,,,,,,,8,B,짜짜? 기대되는군,짜짜
,,,,,,,,,,,,9,A,그래서 12월 6일에 첫 방송이래,
,,,,,,,,,,,,10,B,아 그날 꼭 봐야겠다,
,,,,,,,,,,,,11,A,김다미 언니 팬이야?,
,,,,,,,,,,,,12,B,응! 근데 최우식 배우도 좋아,
,,,,,,,,,,,,13,A,나도 그렇게 생각해,
,,,,,,,,,,,,14,B,우리 같이 보자!,
,,,,,,,,,,,,15,A,그래! 함께 보면 더 재밌을 것 같아,
,,,,,,,,,,,,16,B,약속이다!,
223771,0001,남자,20,0146,여자,20,,,,콘텐츠 소비,우리말 겨루기,1,A,우리말 겨루기 본방사수!,
,,,,,,,,,,,,2,B,레알 재미있겠다 ㅋㅋ,레알
,,,,,,,,,,,,3,A,오늘 방송이야?,
,,,,,,,,,,,,4,B,"응, 오늘 저녁 9시에 방송된다고!",
,,,,,,,,,,,,5,A,시청률 높을 것 같은데,
,,,,,,,,,,,,6,B,그럴 것 같아! 다들 기대하고 있을 거야,
,,,,,,,,,,,,7,A,우리말 실력도 향상시킬 수 있을 것 같아,
,,,,,,,,,,,,8,B,그래서 나도 츄라이해봐야겠다,츄라이하다
,,,,,,,,,,,,9,A,우리말 명예 달인이 되는 거야?,
,,,,,,,,,,,,10,B,"응, 1,000만 원 상금도 참 좋겠다 ㅋㅋ",
,,,,,,,,,,,,11,A,그러면 우리도 대결해보자!,
,,,,,,,,,,,,12,B,"알았어, 그러면 지금부터 시작이야!",
,,,,,,,,,,,,13,A,그러면 첫번째 문제는?,
,,,,,,,,,,,,14,B,음... '사회' 주제로 가볼까?,
,,,,,,,,,,,,15,A,쭈아 첫번째 문제는 사회 관련 문제로!,쭈아
,,,,,,,,,,,,16,B,시작하자마자 진짜 어려운 문제가 나왔다 ㅠㅠ,
003873,0050,여자,30,0113,남자,30,,,,콘텐츠 소비,밀수,1,A,나 삼귀는 사람이랑 데이트 예정임.,삼귀다
,,,,,,,,,,,,2,B,너무 설레겠다.ㅠㅠ 뭐 할거야?,
,,,,,,,,,,,,3,A,영화 볼건데 뭐 볼지 고민 중ㅋㅋ.,
,,,,,,,,,,,,4,B,나 어제 밀수 봤는데 재밌었어. 그건 어때?,
,,,,,,,,,,,,5,A,무슨 내용이야? 영화 잘 몰라서.ㅠㅠ,
,,,,,,,,,,,,6,B,해녀들이 밀수일 시작하면서 사건에 휘말리는거. ㅋㅋ 대유잼.,대유잼
,,,,,,,,,,,,7,A,오홍. 그러면 누구 나오는거야 ?,
,,,,,,,,,,,,8,B,조인성이랑 김혜수; 염정아 나와. ㅋㅋ 조인성은 밀수업자로 나오는데 멋있음.,
,,,,,,,,,,,,9,A,무적권 봐야겠다. 아 감독은 누군데?,무적권
,,,,,,,,,,,,10,B,류승완감독이야. 모가디슈랑 베테랑 감독인데 알지?,
,,,,,,,,,,,,11,A,당연히 알지. ㅋㅋ 재밌을 듯. ㅋㅋ 근데 이거 개봉 언제 함?,
,,,,,,,,,,,,12,B,7월 16일에 개봉했어. ㅋㅋ 아직도 절찬리에 상영 중이야.,
,,,,,,,,,,,,13,A,글쿤. ㅋㅋ 시간 물어보고 예매해야지!,
,,,,,,,,,,,,14,B,응응. ㅋㅋ 너도 재밌었으면 좋겠다.,
,,,,,,,,,,,,15,A,난 떨려서 영화 내용이나 기억할지.ㅎㅎ,
,,,,,,,,,,,,16,B,ㅋㅋ 그렇네. 데이트 잘 하고 후기 들려죠!,
131557,0095,여자,30,0111,남자,30,,,,콘텐츠 소비,기후 문제,1,A,오늘 지구 위 블랙박스 제작발표회 어땠어?,
,,,,,,,,,,,,2,B,"레알 머박이었어! 최정훈, 윤도현, 모니카 등 유명 아티스트들이 참석했더라고!",머박;레알
,,,,,,,,,,,,3,A,"와우내 대니 구도 왔다고 들었어. 그리고 김신록, 김건우도?",와우내
,,,,,,,,,,,,4,B,"응, 그리고 구민정PD도 있었어. 이 작품은 기후위기 아카이브 콘서트래.",
,,,,,,,,,,,,5,A,레알? 기후변화로 파괴되는 지역을 배경으로 음악으로 기록하는 거라니 레게노다.,레게노;레알
,,,,,,,,,,,,6,B,맞아 그리고 오늘부터 무해하게라는 콘셉트로 환경 예능을 연출했대.,
,,,,,,,,,,,,7,A,기후 위기에 대한 중요성을 다시 한 번 느낄 수 있는 프로그램이겠다.,
,,,,,,,,,,,,8,B,마좌 사람들의 관심을 끌기 위해 마음을 울리는 방식으로 만들었대.,마좌
,,,,,,,,,,,,9,A,"기후 위기에 대한 이슈가 중요한데, 관심을 갖게 하는 게 쉽지 않겠지?",
,,,,,,,,,,,,10,B,웅웅 머리로 이해하기보다는 마음으로 와닿는 프로그램이 되었으면 좋겠다고 구민정PD가 말했어.,
,,,,,,,,,,,,11,A,그래서 작품 소개할 때 2023년의 영상을 꺼내 보는 형식이라고 했지?,
,,,,,,,,,,,,12,B,맞아 거주 불능해진 미래에서 푸릇했던 2023년의 영상을 보면서 기후 변화에 대해 생각해보는 거래.,
,,,,,,,,,,,,13,A,레알 신선한 콘셉트네. 이런 프로그램을 많이 만들어야 할 것 같아.,레알
,,,,,,,,,,,,14,B,마좌 기후 문제에 대한 경각심을 더 높여줄 수 있는 방법이라고 생각해.,마좌
,,,,,,,,,,,,15,A,그렇지. 우리도 환경 보호에 더 관심을 갖고 실천해야겠다.,
,,,,,,,,,,,,16,B,맞아 작은 실천부터 시작해서 큰 변화를 이뤄내야지!,
272481,0001,남자,20,0147,여자,20,,,,콘텐츠 소비,한국 매니지먼트,1,A,안녕ㅋㅋ,
,,,,,,,,,,,,2,B,안녕하세요! 뭐하고 있어요?,
,,,,,,,,,,,,3,A,나 매니지먼트 회사에 지원했어!,
,,,,,,,,,,,,4,B,와 머박! 어떤 회사야?,머박
,,,,,,,,,,,,5,A,한국 매니지먼트야. 타키모토 히로토도 그 회사랑 계약했대!,
,,,,,,,,,,,,6,B,짜짜? 타키모토 히로토는 일본 배우잖아!,짜짜
,,,,,,,,,,,,7,A,"응, 그래서 세계적으로 연예활동을 할 거래",
,,,,,,,,,,,,8,B,머박이네! 너도 그런 연예인될 수 있을까?,머박
,,,,,,,,,,,,9,A,나도 그런 꿈이 있어ㅎㅎ,
,,,,,,,,,,,,10,B,ㅎㅇㅌ! 응원할게!,ㅎㅇㅌ
,,,,,,,,,,,,11,A,고마워ㅠㅠ 너도 꿈 이룰 수 있을 거야!,
,,,,,,,,,,,,12,B,헤헤 고마워! 함께 열심히 힘내자!,
,,,,,,,,,,,,13,A,그래ㅎㅎ 함께 힘내자!,
,,,,,,,,,,,,14,B,오늘은 뭐하고 시간 보낼까?,
,,,,,,,,,,,,15,A,영화 볼래? 아직 보지 못한 영화가 있어!,
,,,,,,,,,,,,16,B,좋아! 어디서 볼까?,
272074,0001,남자,20,0149,여자,20,,,,콘텐츠 소비,닥터 차정숙,1,A,ㅎㅇ~ 닥터 차정숙 봄?,ㅎㅇ
,,,,,,,,,,,,2,B,응! 엄정화 연기 너무 좋았어!,
,,,,,,,,,,,,3,A,맞아! 그리고 시청률도 높더라,
,,,,,,,,,,,,4,B,어떻게 될지 궁금해!,
,,,,,,,,,,,,5,A,서인호랑 차정숙 어떻게 될지 모르겠어,
,,,,,,,,,,,,6,B,서인호가 이혼을 하자고 했던데,
,,,,,,,,,,,,7,A,레알? 왜 그럴까?,레알
,,,,,,,,,,,,8,B,서인호가 이중생활을 했거든,
,,,,,,,,,,,,9,A,차정숙이 힘들어할 것 같아,
,,,,,,,,,,,,10,B,그래서 오덕례가 차정숙을 위해 싸우는 거야,
,,,,,,,,,,,,11,A,오덕례가 차정숙을 위해 치료받으면서 서인호를 용서할까?,
,,,,,,,,,,,,12,B,아마 그럴 거야. 오덕례의 마음을 돌릴 수 있을 것 같애,
,,,,,,,,,,,,13,A,그렇다면 최승희는 차정숙과 오덕례를 도와줄까?,
,,,,,,,,,,,,14,B,최승희는 오덕례의 병명을 찾기 위해 노력한대,
,,,,,,,,,,,,15,A,너무 궁금해! 다음 주에 또 봐야겠다,
,,,,,,,,,,,,16,B,응! 앞으로 어떤 일이 벌어질지 기대돼!,
060470,0080,여자,20,0101,남자,20,,,,콘텐츠 소비,"Backlight, International Broadcasting Convention (",1,A,오늘은 방송 기술 회사 Backlight의 소식이 있어!,
,,,,,,,,,,,,2,B,짜짜? 뭐가 있어?,짜짜
,,,,,,,,,,,,3,A,2023 International Broadcasting Convention인 2023 IBC에서 Backlight가 새로운 제품 업데이트와 통합을 소개한대!,
,,,,,,,,,,,,4,B,와 그래서 그 제품들은 어떤 기능이 있는 거야?,
,,,,,,,,,,,,5,A,그 제품들은 비디오 제작과 수익 창출을 더 효율적으로 만들어주는 기능이 있대!,
,,,,,,,,,,,,6,B,짜짜? 그러면 제작과 수익 창출에 도움이 되는 기능들이 뭐가 있을까?,짜짜
,,,,,,,,,,,,7,A,아무래도 비디오 제작과 관련된 과정에서 발생하는 문제들을 해결해주는 기능들이 많을 거야.,
,,,,,,,,,,,,8,B,그럼 그 기능들을 사용하면 제작과 수익 창출이 더 원활해질 거야?,
,,,,,,,,,,,,9,A,그렇다고 해! Backlight의 제품들을 사용하면 비디오 제작과 수익 창출이 더 효율적으로 이루어질 수 있을 거야.,
,,,,,,,,,,,,10,B,그러면 그 제품들은 어떻게 사용하면 되는 거야?,
,,,,,,,,,,,,11,A,아마도 Backlight의 제품들은 간단하게 연결하고 사용할 수 있을 거야. 그래서 제작과 수익 창출에 도움이 될 거야.,
,,,,,,,,,,,,12,B,글쿠나. 그러면 이번에 새로운 제품 업데이트와 통합은 어떤 내용이 있는 거야?,글쿠나
,,,,,,,,,,,,13,A,그건 잘 모르겠어. 근데 Backlight가 IBC에 돌아왔다고 해서 많은 새로운 제품 업데이트와 통합을 소개할 거라고 하더라.,
,,,,,,,,,,,,14,B,그러면 기대해봐야겠다. Backlight의 제품들이 어떤 변화를 가져올지 궁금하네.,
,,,,,,,,,,,,15,A,나도 그래! Backlight의 제품들이 비디오 제작과 수익 창출을 더 효율적으로 만들어줄 수 있으면 좋겠다.,
